id,flight,date,fromS,toD,begindate,enddate,time,price,price_Predict,punc_Rate,Duration
3991,祥鹏航空,2020/5/2,温州龙湾国际机场T2,昆明长水国际机场,10:30,14:00,3:30:00,577,854.1123434,0.95,210
3992,东方航空,2020/5/2,温州龙湾国际机场T2,昆明长水国际机场,10:50,14:05,3:15:00,450,920.3190894,0.88,195
3998,东方航空,2020/5/2,温州龙湾国际机场T2,柳州白莲机场,11:20,13:50,2:30:00,570,623.3782334,1,150
4000,西藏航空,2020/5/3,温州龙湾国际机场T2,临沂启阳机场,14:10,16:00,1:50:00,480,570.9882726,0.96070153,110
4006,乌鲁木齐航空,2020/5/3,温州龙湾国际机场T2,南充高坪机场,15:50,18:45,2:55:00,360,470.2100171,0.95,175
4008,东方航空,2020/5/8,温州龙湾国际机场T2,青岛流亭国际机场T2,17:55,20:05,2:10:00,410,437.1827019,0.93,130
4011,深圳航空,2020/5/3,温州龙湾国际机场T2,深圳宝安国际机场T3,7:10,8:55,1:45:00,330,365.6609636,0.96070153,105
4014,海南航空,2020/5/1,温州龙湾国际机场T2,深圳宝安国际机场T3,19:20,21:15,1:55:00,511,466.9588726,0.91,115
4015,南方航空,2020/5/4,温州龙湾国际机场T2,深圳宝安国际机场T3,19:40,21:40,2:00:00,330,440.0482934,0.98,120
4022,东方航空,2020/5/2,温州龙湾国际机场T2,上海浦东国际机场T1,19:45,21:00,1:15:00,245,450.713499,1,75
4025,厦门航空,2020/5/1,温州龙湾国际机场T2,石家庄正定国际机场T2,12:15,14:35,2:20:00,810,710.9222741,0.89,140
4029,中国国航,2020/5/3,温州龙湾国际机场T2,太原武宿国际机场T1,8:00,10:35,2:35:00,660,605.888141,0.97,155
4038,东方航空,2020/5/14,温州龙湾国际机场T2,西安咸阳国际机场T3,7:20,9:50,2:30:00,350,416.9794888,0.84,150
4041,中国国航,2020/5/1,温州龙湾国际机场T2,西安咸阳国际机场T2,9:30,12:25,2:55:00,480,806.7655393,0.93,175
4053,长安航空,2020/5/2,温州龙湾国际机场T2,宜昌三峡机场,11:35,13:40,2:05:00,660,429.6783969,0.95,125
4055,山东航空,2020/5/6,温州龙湾国际机场T2,烟台蓬莱国际机场,21:15,23:25,2:10:00,300,391.005838,0.96070153,130
4056,长龙航空,2020/5/2,温州龙湾国际机场T2,遵义新舟机场,8:50,11:35,2:45:00,488,643.6319902,0.95,165
4063,东方航空,2020/5/2,温州龙湾国际机场T2,郑州新郑国际机场T2,19:20,21:30,2:10:00,315,496.6295878,0.88,130
4064,山东航空,2020/5/3,温州龙湾国际机场T2,珠海金湾机场,16:55,19:00,2:05:00,200,400.2313659,1,125
4066,海南航空,2020/6/24,温州龙湾国际机场T2,珠海金湾机场,19:05,21:05,2:00:00,500,468.1886703,0.96070153,120
4069,海南航空,2020/5/1,厦门高崎国际机场T4,北京首都国际机场T1,13:05,16:00,2:55:00,1936,2589.719844,1,175
4070,东方航空,2020/5/1,厦门高崎国际机场T4,包头东河机场,7:25,13:30,6:05:00,725,1311.099512,1,365
4075,厦门航空,2020/5/2,厦门高崎国际机场T3,成都双流国际机场T2,10:50,14:05,3:15:00,660,834.4717697,1,195
4087,厦门航空,2020/5/2,厦门高崎国际机场T3,长春龙嘉国际机场T2,7:55,12:55,5:00:00,390,937.4454807,1,300
4089,厦门航空,2020/5/2,厦门高崎国际机场T3,长春龙嘉国际机场T2,10:40,17:00,6:20:00,400,1146.990305,0.97,380
4091,山东航空,2020/5/1,厦门高崎国际机场T4,长春龙嘉国际机场T2,11:45,17:10,5:25:00,420,1211.736015,0.97,325
